2026-03-28 09:39:55,880 INFO [22-915] Brief 46/72 saved → data\22-915\json\20230821_amici_American_Medical_Association_5c4cc5.json
2026-03-28 09:39:57,991 INFO [22-915] Brief 47/72 saved → data\22-915\json\20230821_amici_Domestic_Violence_Legal_Empowerment_Appeals_d8b8e3.json
2026-03-28 09:40:00,653 INFO [22-915] Brief 48/72 saved → data\22-915\json\20230822_amicus_Americans_Against_Gun_Violence_68ea68.json
2026-03-28 09:40:02,656 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,670 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,750 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,755 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,769 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,781 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,797 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,810 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,820 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,826 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,838 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,849 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,862 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,875 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,888 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,901 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,915 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,927 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,939 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,953 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,967 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,978 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:02,993 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,005 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,014 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,023 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,036 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,048 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,060 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,072 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,085 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,095 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,108 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,125 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,136 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,148 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,158 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,170 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,181 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,191 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:03,201 INFO [22-915] Brief 49/72 saved → data\22-915\json\20230922_amicus_Center_Prosecutor_Integrity_(Distributed)_bc6e1a.json
2026-03-28 09:40:05,439 INFO [22-915] Brief 50/72 saved → data\22-915\json\20230927_respondent_Zackey_Rahimi_14af34.json
2026-03-28 09:40:07,491 INFO [22-915] Brief 51/72 saved → data\22-915\json\20231002_amicus_National_Association_Gun_Rights_(Distributed)_039e78.json
2026-03-28 09:40:09,125 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,141 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,147 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,160 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,182 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,200 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,216 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,235 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,251 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,268 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,286 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,304 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,323 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,340 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,355 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,376 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,391 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,404 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:09,417 INFO [22-915] Brief 52/72 saved → data\22-915\json\20231003_amici_Cato_Institute_(Distributed)_b0c093.json
2026-03-28 09:40:11,678 INFO [22-915] Brief 53/72 saved → data\22-915\json\20231003_amici_Alameda_County_Public_Defenders_475be7.json
2026-03-28 09:40:13,779 INFO [22-915] Brief 54/72 saved → data\22-915\json\20231003_amicus_Professor_Nicholas_Johnson_(Distributed)_8ce668.json
2026-03-28 09:40:15,956 INFO [22-915] Brief 55/72 saved → data\22-915\json\20231003_amici_Phyllis_Schlafly_Eagles_Eagle_Forum_f56631.json
2026-03-28 09:40:18,614 INFO [22-915] Brief 56/72 saved → data\22-915\json\20231004_amici_Bronx_Defenders_Union_National_Association_1a3368.json
2026-03-28 09:40:20,297 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,319 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,335 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,344 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,362 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,381 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,400 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,425 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,450 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,475 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,496 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,520 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,540 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,561 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,581 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,599 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,619 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,638 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,658 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,677 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,681 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,698 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,715 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,736 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,755 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,776 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,798 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,819 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:40:20,842 WARNING CropBox missing from /Page, defaulting to MediaBox
